PREBRA 30046 Steel Oil Hardening 2 W Ground Flat Stock,$39.98,https://www.bhid.com//product/prebra-spc-30046,https://www.bhid.com/UserFiles/images/photonotavailable.gif,EA,bhid.com,Raw Materials|Flat bar Stock|Ground Flat Stock,"{'Length': '18 Inch', 'Material': 'Steel', 'Thickness': '1/16 Inch', 'Type': 'Oil Hardening', 'Width': '2 Inch'}"
"3M 85734 Wood Machine Kit, 5 Pieces","$1,081.83",https://www.bhid.com//product/3m-spc-05114485734,https://www.bhid.com/UserFiles/images/photonotavailable.gif,KT,bhid.com,Abrasives|Abrasive Accessories|Abrasive Sets,"{'Includes': '(2) 970DZ P100, 80 Grit 75 in L x 43 in W Belt and 961UZ P120, P150 Grit 75 in L x 43 in W Belt'}"
"3M 3930 High Intensity Prismatic Reflective Sheeting, 50 yd L x 24 in W, White",$848.15,https://www.bhid.com//product/3m-spc-05113530754,https://www.bhid.com/UserFiles/images/products/3m_/3m_/051/3M_3M_051135_30754.jpg,RL,bhid.com,"Facility Maintenance, Repair & Operations|Automotive Exterior|Reflective Tape & Stickers",{}
"Mitutoyo 02AZD790E U-Wave-T, Tool Connect Cable C",$148.50,https://www.bhid.com//product/mitame-spc-02azd790e,https://www.bhid.com/UserFiles/images/products/mit/uto/yo_/Mitutoyo_02AZD790E.jpg,EA,bhid.com,Measuring & Inspecting|Electronic Measuring & SPC Equipment|Electronic Measuring & SPC Accessories,"{'Specialty': '6-pin round', 'Type': 'Wireless Transmitter Cable'}"
PREBRA 30047 Steel Oil Hardening Ground Flat Stock,$48.15,https://www.bhid.com//product/prebra-spc-30047,https://www.bhid.com/UserFiles/images/photonotavailable.gif,EA,bhid.com,Raw Materials|Flat bar Stock|Ground Flat Stock,"{'Length': '18 Inch', 'Material': 'Steel', 'Thickness': '1/16 Inch', 'Type': 'Oil Hardening', 'Width': '2-1/2 Inch'}"
"Stanley® FatMax® 83-002 Medium Trigger Clamp, 6 in Clamping, 3 in Throat Depth, 12 in",$17.44,https://www.bhid.com//product/statoo-spc-83-002,https://www.bhid.com/UserFiles/images/products/stanley_/sta/nle/Stanley_Stanley_83_002_HR.jpg,EA,bhid.com,Tools (Hand & Power)|Hand Tools|Clamp Tool & Accessories|Bar Clamp/Spreaders,{}
"3M 85736 Belt Machine Kit, 5 Pieces",$973.58,https://www.bhid.com//product/3m-spc-05114485736,https://www.bhid.com/UserFiles/images/photonotavailable.gif,KT,bhid.com,Abrasives|Abrasive Accessories|Abrasive Sets,"{'Includes': '(2) 777F P100, 80 Grit 75 in L x 37 in W Belt and 361F P120, P150 Grit 75 in L x 37 in W Belt'}"
"Mitutoyo 02AZD790F U-Wave-T, Tool Connect Cable F",$148.50,https://www.bhid.com//product/mitame-spc-02azd790f,https://www.bhid.com/UserFiles/images/products/mit/uto/yo_/Mitutoyo_02AZD790F.jpg,EA,bhid.com,Measuring & Inspecting|Electronic Measuring & SPC Equipment|Electronic Measuring & SPC Accessories,"{'Specialty': 'Plain type straight', 'Type': 'Wireless Transmitter Cable'}"
PREBRA 30048 Steel Oil Hardening 3 W Ground Flat Stock,$56.30,https://www.bhid.com//product/prebra-spc-30048,https://www.bhid.com/UserFiles/images/photonotavailable.gif,EA,bhid.com,Raw Materials|Flat bar Stock|Ground Flat Stock,"{'Length': '18 Inch', 'Material': 'Steel', 'Thickness': '1/16 Inch', 'Type': 'Oil Hardening', 'Width': '3 Inch'}"
"3M 3930 High Intensity Prismatic Reflective Sheeting, 50 yd L x 30 in W, White","$1,060.20",https://www.bhid.com//product/3m-spc-05113530755,https://www.bhid.com/UserFiles/images/products/3m_/3m_/051/3M_3M_051135_30754.jpg,RL,bhid.com,"Facility Maintenance, Repair & Operations|Automotive Exterior|Reflective Tape & Stickers",{}
